InventoryId,ItemId,Warehouse,QuantityAvailable,ReorderPoint,LastUpdated
INV4153,ITEM3030,East Coast Warehouse,332,298,2025-07-28T23:11:25.913758
INV4154,ITEM3177,Asia Warehouse,844,138,2025-07-28T23:13:33.325989
INV4155,ITEM3029,West Coast Warehouse,603,176,2025-07-28T23:13:05.780376
INV4156,ITEM3002,West Coast Warehouse,575,122,2025-07-28T23:10:52.263637
INV4157,ITEM3168,Asia Warehouse,251,183,2025-07-28T23:08:56.429613
INV4158,ITEM3104,Europe Warehouse,570,235,2025-07-28T23:14:01.934050
INV4159,ITEM3195,Europe Warehouse,706,105,2025-07-28T23:10:27.495522
INV4160,ITEM3111,West Coast Warehouse,790,297,2025-07-28T23:11:48.471915
INV4161,ITEM3151,East Coast Warehouse,891,279,2025-07-28T23:10:31.230372
INV4162,ITEM3117,Europe Warehouse,980,192,2025-07-28T23:13:14.092485
INV4163,ITEM3160,Asia Warehouse,765,154,2025-07-28T23:13:04.273095
INV4164,ITEM3114,West Coast Warehouse,328,219,2025-07-28T23:14:06.166380
INV4165,ITEM3120,West Coast Warehouse,471,192,2025-07-28T23:08:56.914991
INV4166,ITEM3061,Europe Warehouse,203,273,2025-07-28T23:10:25.373031
INV4167,ITEM3026,Europe Warehouse,261,254,2025-07-28T23:09:21.476709
INV4168,ITEM3055,East Coast Warehouse,143,130,2025-07-28T23:08:15.370789
INV4169,ITEM3003,Asia Warehouse,437,201,2025-07-28T23:12:39.532000
INV4170,ITEM3098,Asia Warehouse,817,112,2025-07-28T23:12:45.031559
INV4171,ITEM3098,East Coast Warehouse,934,231,2025-07-28T23:12:16.999567
INV4172,ITEM3052,Europe Warehouse,16,244,2025-07-28T23:12:27.311200
INV4173,ITEM3192,Asia Warehouse,32,229,2025-07-28T23:09:20.944204
INV4174,ITEM3139,Europe Warehouse,809,237,2025-07-28T23:13:05.861097
INV4175,ITEM3015,Asia Warehouse,289,247,2025-07-28T23:11:57.085161
INV4176,ITEM3149,Europe Warehouse,649,117,2025-07-28T23:13:03.029218
INV4177,ITEM3150,East Coast Warehouse,578,123,2025-07-28T23:09:31.613165
INV4178,ITEM3156,East Coast Warehouse,544,140,2025-07-28T23:14:04.842883
INV4179,ITEM3103,East Coast Warehouse,587,219,2025-07-28T23:14:00.226742
INV4180,ITEM3194,West Coast Warehouse,769,118,2025-07-28T23:08:25.246575
INV4181,ITEM3115,Asia Warehouse,837,170,2025-07-28T23:11:09.421635
INV4182,ITEM3123,Asia Warehouse,462,289,2025-07-28T23:12:25.457172
INV4183,ITEM3184,West Coast Warehouse,666,184,2025-07-28T23:11:50.169707
INV4184,ITEM3186,East Coast Warehouse,186,265,2025-07-28T23:08:14.568744
INV4185,ITEM3085,Europe Warehouse,464,235,2025-07-28T23:14:06.334874
INV4186,ITEM3178,Asia Warehouse,910,105,2025-07-28T23:12:01.836998
INV4187,ITEM3007,Asia Warehouse,588,175,2025-07-28T23:08:51.940750
INV4188,ITEM3178,East Coast Warehouse,638,199,2025-07-28T23:09:51.845119
INV4189,ITEM3054,East Coast Warehouse,8,157,2025-07-28T23:11:12.117230
INV4190,ITEM3091,Europe Warehouse,437,138,2025-07-28T23:09:13.371755
INV4191,ITEM3010,Europe Warehouse,876,157,2025-07-28T23:09:21.757293
INV4192,ITEM3083,Europe Warehouse,545,217,2025-07-28T23:12:37.973338
INV4193,ITEM3122,West Coast Warehouse,788,247,2025-07-28T23:12:13.983197
INV4194,ITEM3166,Europe Warehouse,914,283,2025-07-28T23:11:49.070118
INV4195,ITEM3187,West Coast Warehouse,193,297,2025-07-28T23:09:15.190382
INV4196,ITEM3013,West Coast Warehouse,211,178,2025-07-28T23:11:43.739250
INV4197,ITEM3084,West Coast Warehouse,103,106,2025-07-28T23:12:40.550438
INV4198,ITEM3111,East Coast Warehouse,798,132,2025-07-28T23:08:57.875128
INV4199,ITEM3024,Europe Warehouse,977,117,2025-07-28T23:13:48.082824
INV4200,ITEM3168,Europe Warehouse,891,180,2025-07-28T23:13:19.972425
INV4201,ITEM3182,West Coast Warehouse,673,153,2025-07-28T23:13:29.161114
INV4202,ITEM3104,West Coast Warehouse,310,141,2025-07-28T23:12:34.403592
INV4203,ITEM3076,Asia Warehouse,277,159,2025-07-28T23:09:50.758070
INV4204,ITEM3082,West Coast Warehouse,790,190,2025-07-28T23:13:17.160184
INV4205,ITEM3104,East Coast Warehouse,140,212,2025-07-28T23:08:20.322302
INV4206,ITEM3015,East Coast Warehouse,854,196,2025-07-28T23:14:01.131871
INV4207,ITEM3034,East Coast Warehouse,454,290,2025-07-28T23:12:15.984406
INV4208,ITEM3169,West Coast Warehouse,389,112,2025-07-28T23:11:53.204358
INV4209,ITEM3027,Asia Warehouse,449,202,2025-07-28T23:12:17.044927
INV4210,ITEM3019,West Coast Warehouse,210,297,2025-07-28T23:13:29.916697
INV4211,ITEM3081,Asia Warehouse,604,131,2025-07-28T23:08:12.703787
INV4212,ITEM3180,East Coast Warehouse,992,144,2025-07-28T23:10:45.761212
INV4213,ITEM3114,East Coast Warehouse,166,293,2025-07-28T23:12:14.315923
INV4214,ITEM3037,West Coast Warehouse,123,225,2025-07-28T23:12:06.010817
INV4215,ITEM3058,Europe Warehouse,767,181,2025-07-28T23:13:19.389532
INV4216,ITEM3160,Asia Warehouse,195,153,2025-07-28T23:10:08.279735
INV4217,ITEM3047,East Coast Warehouse,818,229,2025-07-28T23:13:15.962959
INV4218,ITEM3046,Europe Warehouse,489,165,2025-07-28T23:10:38.475322
INV4219,ITEM3021,East Coast Warehouse,967,216,2025-07-28T23:08:55.818371
INV4220,ITEM3071,East Coast Warehouse,7,197,2025-07-28T23:11:18.586297
INV4221,ITEM3136,Asia Warehouse,409,125,2025-07-28T23:11:10.406898
INV4222,ITEM3065,Europe Warehouse,369,179,2025-07-28T23:11:18.212489
INV4223,ITEM3171,East Coast Warehouse,444,266,2025-07-28T23:08:27.647283
INV4224,ITEM3166,Europe Warehouse,234,279,2025-07-28T23:12:31.639300
INV4225,ITEM3085,East Coast Warehouse,666,264,2025-07-28T23:08:28.907273
INV4226,ITEM3053,Asia Warehouse,896,220,2025-07-28T23:13:42.620937
INV4227,ITEM3030,East Coast Warehouse,974,170,2025-07-28T23:11:23.667702
INV4228,ITEM3184,Europe Warehouse,46,136,2025-07-28T23:10:05.847107
INV4229,ITEM3068,West Coast Warehouse,181,244,2025-07-28T23:10:33.069198
INV4230,ITEM3110,East Coast Warehouse,131,232,2025-07-28T23:10:12.494093
INV4231,ITEM3069,West Coast Warehouse,143,277,2025-07-28T23:13:28.835445
INV4232,ITEM3037,Asia Warehouse,780,109,2025-07-28T23:13:02.762248
INV4233,ITEM3093,East Coast Warehouse,610,153,2025-07-28T23:14:08.495272
INV4234,ITEM3097,Europe Warehouse,380,258,2025-07-28T23:09:33.226081
INV4235,ITEM3105,Asia Warehouse,843,140,2025-07-28T23:12:20.237628
INV4236,ITEM3049,Asia Warehouse,176,144,2025-07-28T23:13:56.799246
INV4237,ITEM3092,West Coast Warehouse,759,271,2025-07-28T23:13:42.118280
INV4238,ITEM3181,West Coast Warehouse,373,128,2025-07-28T23:09:22.875654
INV4239,ITEM3187,West Coast Warehouse,30,227,2025-07-28T23:10:10.520868
INV4240,ITEM3124,West Coast Warehouse,313,203,2025-07-28T23:08:34.623885
INV4241,ITEM3003,Europe Warehouse,930,167,2025-07-28T23:11:57.106092
INV4242,ITEM3013,Europe Warehouse,29,300,2025-07-28T23:08:22.034191
INV4243,ITEM3171,East Coast Warehouse,339,107,2025-07-28T23:10:47.501620
INV4244,ITEM3142,Asia Warehouse,35,288,2025-07-28T23:08:20.648471
INV4245,ITEM3196,West Coast Warehouse,935,204,2025-07-28T23:12:58.999526
INV4246,ITEM3162,East Coast Warehouse,552,196,2025-07-28T23:13:48.621889
INV4247,ITEM3198,West Coast Warehouse,161,125,2025-07-28T23:13:14.582730
INV4248,ITEM3160,East Coast Warehouse,357,157,2025-07-28T23:09:40.975284
INV4249,ITEM3181,East Coast Warehouse,429,116,2025-07-28T23:11:02.487549
INV4250,ITEM3080,East Coast Warehouse,991,221,2025-07-28T23:13:57.168957
INV4251,ITEM3168,Asia Warehouse,425,237,2025-07-28T23:13:11.706305
INV4252,ITEM3156,Asia Warehouse,137,254,2025-07-28T23:13:07.788167
INV4253,ITEM3048,East Coast Warehouse,318,221,2025-07-28T23:11:19.083016
INV4254,ITEM3150,Asia Warehouse,921,165,2025-07-28T23:09:37.227720
INV4255,ITEM3079,West Coast Warehouse,330,268,2025-07-28T23:08:38.247901
INV4256,ITEM3038,Europe Warehouse,979,257,2025-07-28T23:11:47.987294
INV4257,ITEM3127,East Coast Warehouse,489,226,2025-07-28T23:10:49.870614
INV4258,ITEM3082,West Coast Warehouse,128,156,2025-07-28T23:08:46.441470
INV4259,ITEM3030,West Coast Warehouse,824,136,2025-07-28T23:10:52.724229
INV4260,ITEM3183,West Coast Warehouse,675,121,2025-07-28T23:08:56.937494
INV4261,ITEM3003,East Coast Warehouse,734,203,2025-07-28T23:14:02.829208
INV4262,ITEM3043,Europe Warehouse,908,257,2025-07-28T23:13:42.017176
INV4263,ITEM3176,East Coast Warehouse,255,157,2025-07-28T23:10:27.862248
INV4264,ITEM3060,Europe Warehouse,189,286,2025-07-28T23:13:32.430145
INV4265,ITEM3167,Europe Warehouse,336,281,2025-07-28T23:12:21.610920
INV4266,ITEM3003,Asia Warehouse,684,251,2025-07-28T23:12:53.752646
INV4267,ITEM3119,Europe Warehouse,778,133,2025-07-28T23:08:34.320804
INV4268,ITEM3010,Europe Warehouse,432,195,2025-07-28T23:13:00.859356
INV4269,ITEM3069,West Coast Warehouse,593,288,2025-07-28T23:08:31.723979
INV4270,ITEM3024,East Coast Warehouse,765,198,2025-07-28T23:11:51.865910
INV4271,ITEM3156,East Coast Warehouse,813,150,2025-07-28T23:10:47.462036
INV4272,ITEM3135,West Coast Warehouse,14,136,2025-07-28T23:08:48.657929
INV4273,ITEM3035,East Coast Warehouse,855,160,2025-07-28T23:08:32.084385
INV4274,ITEM3080,West Coast Warehouse,406,182,2025-07-28T23:08:30.793132
INV4275,ITEM3106,East Coast Warehouse,585,223,2025-07-28T23:13:17.974553
INV4276,ITEM3035,Asia Warehouse,878,188,2025-07-28T23:10:36.605903
INV4277,ITEM3043,West Coast Warehouse,643,247,2025-07-28T23:11:54.228711
INV4278,ITEM3181,Asia Warehouse,462,154,2025-07-28T23:10:39.998881
INV4279,ITEM3037,Asia Warehouse,636,167,2025-07-28T23:13:23.249788
INV4280,ITEM3079,Asia Warehouse,120,290,2025-07-28T23:12:55.490931
INV4281,ITEM3180,Europe Warehouse,671,296,2025-07-28T23:11:56.642936
INV4282,ITEM3127,Europe Warehouse,345,147,2025-07-28T23:10:55.228049
INV4283,ITEM3021,Europe Warehouse,349,224,2025-07-28T23:10:59.115273
INV4284,ITEM3104,Asia Warehouse,679,124,2025-07-28T23:10:46.118067
INV4285,ITEM3089,Europe Warehouse,781,232,2025-07-28T23:11:55.275854
INV4286,ITEM3141,Europe Warehouse,64,300,2025-07-28T23:08:48.460054
INV4287,ITEM3037,Europe Warehouse,436,264,2025-07-28T23:12:06.331713
INV4288,ITEM3185,East Coast Warehouse,987,239,2025-07-28T23:12:15.279396
INV4289,ITEM3087,West Coast Warehouse,96,158,2025-07-28T23:08:21.349948
INV4290,ITEM3123,Asia Warehouse,849,128,2025-07-28T23:11:18.196641
INV4291,ITEM3165,East Coast Warehouse,563,282,2025-07-28T23:11:43.612808
INV4292,ITEM3105,Europe Warehouse,129,188,2025-07-28T23:08:50.882372
INV4293,ITEM3191,Europe Warehouse,463,211,2025-07-28T23:08:16.423890
INV4294,ITEM3016,East Coast Warehouse,989,229,2025-07-28T23:12:28.787782
INV4295,ITEM3088,West Coast Warehouse,407,230,2025-07-28T23:11:45.439139
INV4296,ITEM3131,West Coast Warehouse,145,274,2025-07-28T23:13:14.680606
INV4297,ITEM3110,West Coast Warehouse,794,104,2025-07-28T23:13:37.573197
INV4298,ITEM3040,West Coast Warehouse,751,290,2025-07-28T23:08:57.353385
INV4299,ITEM3109,Europe Warehouse,538,253,2025-07-28T23:11:15.203282
INV4300,ITEM3185,West Coast Warehouse,576,235,2025-07-28T23:10:19.940837
INV4301,ITEM3102,East Coast Warehouse,819,236,2025-07-28T23:11:05.303749
INV4302,ITEM3049,Europe Warehouse,552,158,2025-07-28T23:11:55.506319
INV4303,ITEM3051,West Coast Warehouse,383,140,2025-07-28T23:09:18.932426
INV4304,ITEM3193,East Coast Warehouse,696,142,2025-07-28T23:09:01.562174
INV4305,ITEM3199,West Coast Warehouse,863,292,2025-07-28T23:08:27.865484
INV4306,ITEM3079,West Coast Warehouse,553,256,2025-07-28T23:08:57.965070
INV4307,ITEM3091,Asia Warehouse,878,151,2025-07-28T23:11:42.428026
INV4308,ITEM3077,Europe Warehouse,50,202,2025-07-28T23:11:16.725266
INV4309,ITEM3052,Europe Warehouse,399,233,2025-07-28T23:12:06.613793
INV4310,ITEM3127,Asia Warehouse,915,221,2025-07-28T23:10:20.787710
INV4311,ITEM3123,Asia Warehouse,329,134,2025-07-28T23:11:42.119732
INV4312,ITEM3001,Europe Warehouse,0,119,2025-07-28T23:11:26.811734
INV4313,ITEM3080,Europe Warehouse,725,242,2025-07-28T23:09:04.424886
INV4314,ITEM3075,Europe Warehouse,213,287,2025-07-28T23:11:01.028553
INV4315,ITEM3117,East Coast Warehouse,60,293,2025-07-28T23:11:49.198616
INV4316,ITEM3121,Asia Warehouse,143,136,2025-07-28T23:09:56.783020
INV4317,ITEM3072,Asia Warehouse,842,141,2025-07-28T23:14:01.297581
INV4318,ITEM3054,West Coast Warehouse,400,140,2025-07-28T23:11:18.365012
INV4319,ITEM3014,Asia Warehouse,400,251,2025-07-28T23:12:08.763650
INV4320,ITEM3064,West Coast Warehouse,254,189,2025-07-28T23:09:04.056138
INV4321,ITEM3068,East Coast Warehouse,231,170,2025-07-28T23:09:37.459448
INV4322,ITEM3156,West Coast Warehouse,914,202,2025-07-28T23:13:06.906164
INV4323,ITEM3168,East Coast Warehouse,743,289,2025-07-28T23:11:33.401970
INV4324,ITEM3152,West Coast Warehouse,210,213,2025-07-28T23:08:31.658624
INV4325,ITEM3094,West Coast Warehouse,688,170,2025-07-28T23:10:15.773797
INV4326,ITEM3184,Europe Warehouse,11,263,2025-07-28T23:14:03.543878
INV4327,ITEM3128,East Coast Warehouse,533,179,2025-07-28T23:12:02.599725
INV4328,ITEM3121,East Coast Warehouse,790,260,2025-07-28T23:09:24.454045
INV4329,ITEM3147,Asia Warehouse,237,269,2025-07-28T23:08:36.625359
INV4330,ITEM3081,Asia Warehouse,305,131,2025-07-28T23:09:20.168006
INV4331,ITEM3063,Asia Warehouse,157,118,2025-07-28T23:11:03.261022
INV4332,ITEM3029,Europe Warehouse,896,169,2025-07-28T23:12:21.062762
INV4333,ITEM3153,East Coast Warehouse,390,165,2025-07-28T23:11:00.264860
INV4334,ITEM3196,East Coast Warehouse,641,219,2025-07-28T23:12:21.268982
