Id,AccountId,StageName,CloseDate,TotalAmount,Probability
OPP2057,ACC1414,Proposal,2024-05-24,0.0,70
OPP2058,ACC1168,Closed Lost,2024-05-27,0.0,34
OPP2059,ACC1287,Proposal,2024-08-18,0.0,83
OPP2060,ACC1206,Closed Lost,2024-05-06,0.0,69
OPP2061,ACC1405,Closed Won,2024-01-30,390171.4,100
OPP2062,ACC1040,Negotiation,2024-03-25,0.0,63
OPP2063,ACC1323,Closed Lost,2023-09-23,0.0,35
OPP2064,ACC1342,Closed Won,2024-06-20,73507.27,100
OPP2065,ACC1377,Proposal,2024-04-24,0.0,71
OPP2066,ACC1395,Closed Won,2024-08-22,279497.67,100
OPP2067,ACC1456,Qualification,2025-03-25,0.0,76
OPP2068,ACC1270,Closed Won,2023-09-03,146106.19,100
OPP2069,ACC1307,Closed Won,2024-04-28,140031.69,100
OPP2070,ACC1416,Closed Lost,2024-10-12,0.0,28
OPP2071,ACC1496,Closed Won,2023-08-25,50398.22,100
OPP2072,ACC1265,Closed Lost,2023-09-19,0.0,67
OPP2073,ACC1302,Closed Won,2025-03-07,465583.6,100
OPP2074,ACC1015,Proposal,2024-09-29,0.0,60
OPP2075,ACC1144,Negotiation,2024-11-29,0.0,40
OPP2076,ACC1361,Proposal,2024-01-02,0.0,20
OPP2077,ACC1296,Proposal,2023-12-27,0.0,13
OPP2078,ACC1105,Proposal,2025-05-21,0.0,22
OPP2079,ACC1419,Closed Won,2024-03-05,326730.54,100
OPP2080,ACC1229,Closed Won,2025-05-22,73111.8,100
OPP2081,ACC1438,Proposal,2023-12-29,0.0,70
OPP2082,ACC1291,Closed Won,2023-12-13,73702.38,100
OPP2083,ACC1005,Closed Won,2025-01-20,227057.73,100
OPP2084,ACC1182,Prospecting,2025-01-23,0.0,20
OPP2085,ACC1266,Prospecting,2025-01-29,0.0,37
OPP2086,ACC1400,Closed Won,2025-05-26,276658.1,100
OPP2087,ACC1260,Closed Won,2024-12-17,266246.9,100
OPP2088,ACC1174,Qualification,2024-12-23,0.0,46
OPP2089,ACC1353,Qualification,2024-05-12,0.0,25
OPP2090,ACC1246,Prospecting,2024-01-18,0.0,63
OPP2091,ACC1000,Closed Won,2024-03-19,313291.23,100
OPP2092,ACC1345,Prospecting,2024-02-19,0.0,73
OPP2093,ACC1449,Negotiation,2024-07-02,0.0,12
OPP2094,ACC1169,Closed Won,2024-11-13,289648.49,100
OPP2095,ACC1073,Closed Won,2024-03-09,149179.63,100
OPP2096,ACC1488,Prospecting,2024-04-15,0.0,55
OPP2097,ACC1256,Qualification,2025-05-03,0.0,63
OPP2098,ACC1086,Qualification,2024-07-02,0.0,20
OPP2099,ACC1191,Negotiation,2025-03-05,0.0,56
OPP2100,ACC1061,Prospecting,2025-01-06,0.0,77
OPP2101,ACC1218,Negotiation,2025-02-03,0.0,74
OPP2102,ACC1271,Negotiation,2024-03-18,0.0,59
OPP2103,ACC1268,Closed Won,2023-12-23,26549.54,100
OPP2104,ACC1290,Proposal,2024-03-12,0.0,57
OPP2105,ACC1022,Proposal,2023-08-30,0.0,12
OPP2106,ACC1252,Proposal,2025-04-19,0.0,18
OPP2107,ACC1479,Proposal,2025-01-19,0.0,90
OPP2108,ACC1230,Qualification,2023-08-08,0.0,84
OPP2109,ACC1264,Closed Won,2024-09-04,169596.71,100
OPP2110,ACC1238,Prospecting,2024-09-26,0.0,79
OPP2111,ACC1235,Proposal,2025-01-04,0.0,32
OPP2112,ACC1305,Closed Won,2024-02-28,343917.87,100
OPP2113,ACC1452,Closed Lost,2023-12-18,0.0,71
OPP2114,ACC1078,Closed Won,2024-01-12,406691.35,100
OPP2115,ACC1199,Prospecting,2024-09-16,0.0,68
OPP2116,ACC1197,Prospecting,2024-01-23,0.0,35
OPP2117,ACC1151,Prospecting,2024-09-02,0.0,35
OPP2118,ACC1116,Closed Won,2025-06-16,161219.93,100
OPP2119,ACC1251,Proposal,2024-03-30,0.0,60
OPP2120,ACC1396,Closed Lost,2025-02-05,0.0,79
OPP2121,ACC1499,Negotiation,2024-07-19,0.0,14
OPP2122,ACC1201,Closed Won,2025-01-06,99596.2,100
OPP2123,ACC1161,Proposal,2025-01-18,0.0,16
OPP2124,ACC1336,Closed Won,2024-06-28,169302.72,100
OPP2125,ACC1019,Qualification,2025-01-13,0.0,57
OPP2126,ACC1317,Proposal,2024-04-10,0.0,61
OPP2127,ACC1080,Closed Won,2023-11-07,447845.56,100
OPP2128,ACC1265,Proposal,2024-08-30,0.0,33
OPP2129,ACC1220,Negotiation,2023-12-09,0.0,73
OPP2130,ACC1038,Proposal,2025-05-08,0.0,76
OPP2131,ACC1011,Proposal,2025-07-20,0.0,20
OPP2132,ACC1253,Closed Won,2025-06-26,44068.87,100
OPP2133,ACC1425,Closed Won,2024-08-14,412058.93,100
OPP2134,ACC1385,Negotiation,2025-04-01,0.0,51
OPP2135,ACC1299,Qualification,2023-09-20,0.0,51
OPP2136,ACC1262,Closed Won,2025-03-16,156715.45,100
OPP2137,ACC1445,Closed Won,2023-09-01,215927.46,100
OPP2138,ACC1271,Closed Won,2023-08-01,179015.76,100
OPP2139,ACC1083,Prospecting,2023-11-05,0.0,55
OPP2140,ACC1432,Closed Won,2024-10-31,220295.55,100
OPP2141,ACC1066,Closed Won,2023-09-15,396781.53,100
OPP2142,ACC1013,Prospecting,2023-11-15,0.0,61
OPP2143,ACC1341,Proposal,2024-01-03,0.0,30
OPP2144,ACC1414,Closed Lost,2024-06-25,0.0,28
OPP2145,ACC1177,Closed Won,2023-09-10,340653.99,100
OPP2146,ACC1027,Proposal,2024-11-05,0.0,26
OPP2147,ACC1427,Prospecting,2025-06-09,0.0,56
OPP2148,ACC1201,Proposal,2025-05-25,0.0,82
OPP2149,ACC1129,Prospecting,2024-11-20,0.0,29
OPP2150,ACC1056,Closed Won,2023-08-08,474667.65,100
OPP2151,ACC1484,Proposal,2024-08-20,0.0,19
OPP2152,ACC1456,Negotiation,2024-05-23,0.0,77
OPP2153,ACC1079,Proposal,2023-08-09,0.0,50
OPP2154,ACC1356,Closed Won,2025-01-05,128557.77,100
OPP2155,ACC1146,Qualification,2024-08-22,0.0,33
OPP2156,ACC1127,Negotiation,2024-02-22,0.0,59
OPP2157,ACC1044,Closed Lost,2024-07-29,0.0,25
OPP2158,ACC1127,Proposal,2024-12-19,0.0,43
OPP2159,ACC1421,Closed Won,2024-06-06,111212.36,100
OPP2160,ACC1476,Closed Won,2025-06-13,348520.42,100
OPP2161,ACC1270,Closed Lost,2023-12-06,0.0,35
OPP2162,ACC1071,Qualification,2025-05-29,0.0,19
OPP2163,ACC1222,Negotiation,2024-08-14,0.0,66
OPP2164,ACC1206,Closed Lost,2024-01-20,0.0,50
OPP2165,ACC1434,Closed Won,2024-10-23,356222.54,100
OPP2166,ACC1347,Negotiation,2024-01-28,0.0,47
OPP2167,ACC1165,Closed Won,2024-04-12,426424.22,100
OPP2168,ACC1349,Closed Won,2025-02-28,464025.61,100
OPP2169,ACC1363,Closed Won,2023-09-23,397879.71,100
OPP2170,ACC1442,Negotiation,2025-06-28,0.0,25
OPP2171,ACC1455,Closed Lost,2024-06-27,0.0,27
OPP2172,ACC1487,Qualification,2024-01-21,0.0,73
OPP2173,ACC1303,Prospecting,2024-12-18,0.0,80
OPP2174,ACC1423,Negotiation,2024-03-03,0.0,69
OPP2175,ACC1290,Closed Won,2025-03-24,278065.23,100
OPP2176,ACC1134,Closed Won,2023-09-24,47676.66,100
OPP2177,ACC1083,Proposal,2025-07-21,0.0,71
OPP2178,ACC1195,Negotiation,2024-11-14,0.0,62
OPP2179,ACC1399,Closed Won,2023-08-20,41506.6,100
OPP2180,ACC1159,Closed Lost,2024-05-19,0.0,19
OPP2181,ACC1105,Proposal,2024-04-28,0.0,76
OPP2182,ACC1251,Proposal,2024-07-09,0.0,80
OPP2183,ACC1137,Closed Won,2024-11-04,95071.75,100
OPP2184,ACC1136,Closed Lost,2024-12-22,0.0,65
OPP2185,ACC1296,Negotiation,2023-09-26,0.0,17
OPP2186,ACC1153,Closed Won,2025-04-05,261460.56,100
OPP2187,ACC1144,Proposal,2024-11-10,0.0,30
OPP2188,ACC1450,Proposal,2024-03-26,0.0,38
OPP2189,ACC1261,Proposal,2025-07-11,0.0,76
OPP2190,ACC1097,Closed Won,2025-07-08,423737.18,100
OPP2191,ACC1421,Proposal,2025-05-12,0.0,80
OPP2192,ACC1249,Proposal,2025-05-29,0.0,90
OPP2193,ACC1038,Proposal,2024-01-11,0.0,78
OPP2194,ACC1269,Prospecting,2025-05-16,0.0,31
OPP2195,ACC1303,Negotiation,2024-12-15,0.0,84
OPP2196,ACC1168,Qualification,2024-09-14,0.0,89
OPP2197,ACC1072,Closed Won,2024-02-11,304543.76,100
OPP2198,ACC1079,Closed Won,2025-06-02,283990.93,100
OPP2199,ACC1009,Closed Won,2024-12-09,19044.88,100
OPP2200,ACC1091,Prospecting,2024-02-17,0.0,83
OPP2201,ACC1221,Proposal,2024-08-27,0.0,36
OPP2202,ACC1005,Closed Won,2024-11-20,211210.46,100
OPP2203,ACC1215,Closed Won,2023-12-06,251528.84,100
OPP2204,ACC1471,Closed Won,2025-04-09,148387.47,100
OPP2205,ACC1249,Closed Lost,2023-08-08,0.0,71
OPP2206,ACC1165,Qualification,2023-12-26,0.0,61
OPP2207,ACC1242,Proposal,2023-11-10,0.0,19
OPP2208,ACC1162,Closed Won,2025-03-18,83249.82,100
OPP2209,ACC1320,Proposal,2025-03-19,0.0,69
OPP2210,ACC1014,Qualification,2025-06-06,0.0,87
OPP2211,ACC1314,Qualification,2024-03-02,0.0,50
OPP2212,ACC1039,Closed Won,2024-09-12,431084.8,100
OPP2213,ACC1337,Closed Lost,2024-09-14,0.0,26
OPP2214,ACC1150,Closed Won,2025-04-08,259915.17,100
OPP2215,ACC1053,Qualification,2024-12-03,0.0,40
OPP2216,ACC1172,Negotiation,2024-08-26,0.0,44
OPP2217,ACC1491,Proposal,2024-05-03,0.0,28
OPP2218,ACC1290,Prospecting,2025-01-18,0.0,47
OPP2219,ACC1135,Closed Lost,2025-02-24,0.0,88
OPP2220,ACC1465,Proposal,2024-12-12,0.0,30
OPP2221,ACC1115,Closed Won,2023-09-23,467207.01,100
OPP2222,ACC1438,Closed Won,2025-01-22,98967.88,100
OPP2223,ACC1280,Qualification,2024-04-05,0.0,75
OPP2224,ACC1085,Negotiation,2023-10-07,0.0,49
OPP2225,ACC1143,Negotiation,2024-01-13,0.0,21
OPP2226,ACC1321,Closed Lost,2023-09-21,0.0,74
OPP2227,ACC1327,Negotiation,2024-10-12,0.0,40
OPP2228,ACC1020,Qualification,2024-10-18,0.0,55
OPP2229,ACC1362,Prospecting,2024-10-05,0.0,46
OPP2230,ACC1213,Negotiation,2025-07-05,0.0,70
OPP2231,ACC1356,Proposal,2024-03-22,0.0,11
OPP2232,ACC1443,Closed Won,2024-11-02,218309.25,100
OPP2233,ACC1449,Closed Won,2025-02-19,365116.49,100
OPP2234,ACC1329,Closed Won,2024-06-21,186138.99,100
OPP2235,ACC1470,Proposal,2024-01-10,0.0,82
OPP2236,ACC1492,Negotiation,2024-09-04,0.0,56
OPP2237,ACC1038,Negotiation,2024-04-27,0.0,19
OPP2238,ACC1483,Proposal,2023-12-10,0.0,67
OPP2239,ACC1026,Closed Won,2024-09-28,143461.74,100
OPP2240,ACC1071,Closed Lost,2024-04-30,0.0,88
OPP2241,ACC1181,Qualification,2025-02-11,0.0,22
OPP2242,ACC1193,Proposal,2024-02-28,0.0,53
OPP2243,ACC1092,Negotiation,2024-01-24,0.0,56
OPP2244,ACC1289,Closed Won,2023-09-19,103533.65,100
OPP2245,ACC1177,Negotiation,2024-02-08,0.0,74
OPP2246,ACC1220,Prospecting,2024-04-30,0.0,14
OPP2247,ACC1152,Qualification,2025-02-20,0.0,52
OPP2248,ACC1323,Closed Won,2023-11-17,262069.69,100
OPP2249,ACC1393,Qualification,2024-05-07,0.0,75
OPP2250,ACC1021,Qualification,2024-04-16,0.0,88
OPP2251,ACC1435,Proposal,2023-10-02,0.0,60
OPP2252,ACC1454,Closed Lost,2025-06-16,0.0,48
OPP2253,ACC1355,Negotiation,2024-06-17,0.0,74
OPP2254,ACC1263,Closed Won,2025-02-03,268508.22,100
OPP2255,ACC1021,Closed Won,2023-10-10,153396.33,100
OPP2256,ACC1122,Closed Won,2023-09-29,187337.12,100
OPP2257,ACC1354,Closed Won,2024-06-07,490049.53,100
OPP2258,ACC1217,Negotiation,2024-09-07,0.0,90
OPP2259,ACC1145,Prospecting,2024-08-05,0.0,70
OPP2260,ACC1298,Proposal,2023-10-11,0.0,84
OPP2261,ACC1198,Negotiation,2023-10-01,0.0,16
OPP2262,ACC1451,Negotiation,2024-09-05,0.0,31
OPP2263,ACC1209,Negotiation,2024-10-06,0.0,89
OPP2264,ACC1200,Closed Won,2025-02-20,193194.22,100
OPP2265,ACC1194,Closed Won,2025-04-19,124887.3,100
OPP2266,ACC1029,Negotiation,2023-08-06,0.0,24
OPP2267,ACC1322,Qualification,2024-05-25,0.0,66
OPP2268,ACC1350,Proposal,2025-02-16,0.0,29
OPP2269,ACC1032,Proposal,2025-01-07,0.0,36
OPP2270,ACC1400,Proposal,2024-09-09,0.0,88
OPP2271,ACC1133,Closed Lost,2025-07-22,0.0,17
OPP2272,ACC1426,Closed Won,2024-01-21,261748.19,100
OPP2273,ACC1082,Negotiation,2024-08-11,0.0,71
OPP2274,ACC1239,Negotiation,2024-12-09,0.0,50
OPP2275,ACC1405,Closed Lost,2023-11-28,0.0,68
OPP2276,ACC1363,Closed Lost,2024-02-09,0.0,53
OPP2277,ACC1252,Negotiation,2024-02-09,0.0,43
OPP2278,ACC1068,Closed Won,2023-11-11,100170.76,100
OPP2279,ACC1301,Qualification,2023-11-27,0.0,81
OPP2280,ACC1420,Proposal,2024-02-14,0.0,48
OPP2281,ACC1372,Closed Won,2024-03-03,353925.96,100
OPP2282,ACC1364,Closed Won,2025-02-19,247056.52,100
OPP2283,ACC1155,Negotiation,2024-04-16,0.0,81
OPP2284,ACC1161,Closed Lost,2025-06-17,0.0,45
OPP2285,ACC1020,Proposal,2025-01-04,0.0,83
OPP2286,ACC1407,Closed Won,2024-07-24,192948.62,100
OPP2287,ACC1489,Closed Lost,2024-10-20,0.0,54
OPP2288,ACC1139,Closed Lost,2024-06-26,0.0,28
OPP2289,ACC1382,Proposal,2023-11-04,0.0,46
OPP2290,ACC1472,Closed Lost,2023-08-01,0.0,20
OPP2291,ACC1109,Proposal,2024-05-12,0.0,66
OPP2292,ACC1112,Closed Won,2025-04-03,374932.56,100
OPP2293,ACC1354,Qualification,2024-04-30,0.0,78
OPP2294,ACC1102,Proposal,2025-04-18,0.0,81
OPP2295,ACC1429,Closed Won,2024-06-13,72950.11,100
OPP2296,ACC1483,Closed Won,2024-06-06,295481.1,100
OPP2297,ACC1125,Qualification,2025-03-21,0.0,77
OPP2298,ACC1420,Qualification,2024-11-14,0.0,39
OPP2299,ACC1426,Prospecting,2024-10-04,0.0,62
OPP2300,ACC1061,Proposal,2024-03-03,0.0,70
OPP2301,ACC1374,Qualification,2024-10-10,0.0,27
OPP2302,ACC1248,Prospecting,2024-12-17,0.0,80
OPP2303,ACC1026,Closed Lost,2024-07-12,0.0,30
OPP2304,ACC1155,Proposal,2023-12-04,0.0,70
OPP2305,ACC1192,Negotiation,2024-05-14,0.0,35
OPP2306,ACC1355,Closed Won,2024-03-17,147186.29,100
OPP2307,ACC1099,Proposal,2025-01-15,0.0,17
OPP2308,ACC1038,Closed Lost,2024-11-01,0.0,21
OPP2309,ACC1080,Closed Won,2025-07-04,119949.0,100
OPP2310,ACC1330,Closed Won,2025-02-18,425914.89,100
OPP2311,ACC1090,Prospecting,2024-03-22,0.0,32
OPP2312,ACC1259,Proposal,2024-02-17,0.0,32
OPP2313,ACC1125,Closed Lost,2025-02-21,0.0,14
OPP2314,ACC1143,Closed Lost,2024-04-19,0.0,60
OPP2315,ACC1429,Closed Won,2025-06-08,97224.26,100
OPP2316,ACC1387,Closed Won,2023-12-21,436783.89,100
OPP2317,ACC1449,Proposal,2025-07-26,0.0,14
OPP2318,ACC1467,Prospecting,2023-12-06,0.0,82
OPP2319,ACC1043,Closed Won,2025-02-08,464585.15,100
OPP2320,ACC1362,Proposal,2023-08-16,0.0,68
OPP2321,ACC1042,Closed Lost,2025-01-09,0.0,79
OPP2322,ACC1270,Negotiation,2025-06-16,0.0,27
OPP2323,ACC1248,Closed Won,2023-12-28,236670.28,100
OPP2324,ACC1442,Qualification,2025-03-02,0.0,24
OPP2325,ACC1160,Proposal,2025-03-26,0.0,68
OPP2326,ACC1301,Closed Won,2023-09-16,360706.1,100
OPP2327,ACC1205,Prospecting,2025-04-07,0.0,53
OPP2328,ACC1167,Closed Won,2025-02-28,286051.71,100
OPP2329,ACC1230,Closed Won,2024-11-30,91869.98,100
OPP2330,ACC1427,Closed Won,2023-11-06,449036.17,100
OPP2331,ACC1367,Closed Won,2024-03-05,260063.93,100
OPP2332,ACC1355,Prospecting,2024-01-28,0.0,22
OPP2333,ACC1377,Qualification,2023-11-17,0.0,27
OPP2334,ACC1129,Negotiation,2024-06-01,0.0,41
OPP2335,ACC1094,Prospecting,2024-04-28,0.0,59
OPP2336,ACC1024,Qualification,2024-06-20,0.0,44
OPP2337,ACC1116,Closed Lost,2024-10-07,0.0,48
OPP2338,ACC1374,Negotiation,2024-09-25,0.0,83
OPP2339,ACC1004,Prospecting,2024-08-21,0.0,56
OPP2340,ACC1392,Closed Won,2025-06-02,35751.54,100
OPP2341,ACC1344,Qualification,2025-04-23,0.0,49
OPP2342,ACC1062,Qualification,2024-05-28,0.0,74
OPP2343,ACC1371,Closed Lost,2023-08-23,0.0,49
OPP2344,ACC1051,Closed Won,2025-07-04,321162.11,100
OPP2345,ACC1176,Closed Lost,2024-12-21,0.0,57
OPP2346,ACC1491,Closed Won,2025-03-12,113468.66,100
OPP2347,ACC1387,Qualification,2024-10-04,0.0,29
OPP2348,ACC1235,Negotiation,2025-05-26,0.0,87
OPP2349,ACC1332,Proposal,2023-10-15,0.0,80
OPP2350,ACC1088,Closed Lost,2024-01-25,0.0,78
OPP2351,ACC1008,Closed Won,2024-11-24,413673.74,100
OPP2352,ACC1224,Closed Won,2023-11-26,341769.25,100
OPP2353,ACC1294,Negotiation,2024-10-17,0.0,20
OPP2354,ACC1242,Negotiation,2024-09-11,0.0,77
OPP2355,ACC1221,Closed Won,2024-11-10,43660.85,100
OPP2356,ACC1153,Negotiation,2024-11-11,0.0,17
OPP2357,ACC1229,Closed Won,2025-07-03,451929.64,100
OPP2358,ACC1210,Qualification,2024-03-26,0.0,78
OPP2359,ACC1043,Qualification,2025-03-01,0.0,51
OPP2360,ACC1180,Closed Won,2023-10-13,223711.07,100
OPP2361,ACC1493,Closed Won,2023-10-08,359874.39,100
OPP2362,ACC1348,Negotiation,2024-01-06,0.0,75
OPP2363,ACC1436,Proposal,2025-01-23,0.0,17
OPP2364,ACC1048,Negotiation,2024-09-07,0.0,75
OPP2365,ACC1259,Proposal,2024-12-11,0.0,82
OPP2366,ACC1433,Prospecting,2024-01-05,0.0,69
OPP2367,ACC1325,Closed Won,2024-04-26,157543.93,100
OPP2368,ACC1038,Prospecting,2024-06-30,0.0,42
OPP2369,ACC1279,Closed Won,2024-12-05,374173.22,100
OPP2370,ACC1078,Negotiation,2024-12-13,0.0,15
OPP2371,ACC1427,Proposal,2023-11-15,0.0,18
OPP2372,ACC1100,Negotiation,2025-07-26,0.0,17
OPP2373,ACC1113,Closed Lost,2024-07-14,0.0,18
OPP2374,ACC1130,Closed Lost,2024-02-28,0.0,70
OPP2375,ACC1379,Prospecting,2025-05-30,0.0,62
OPP2376,ACC1071,Qualification,2023-09-28,0.0,27
OPP2377,ACC1038,Closed Won,2025-03-26,489274.98,100
OPP2378,ACC1310,Closed Won,2025-01-11,213079.16,100
OPP2379,ACC1000,Closed Lost,2024-04-07,0.0,58
OPP2380,ACC1138,Proposal,2024-04-03,0.0,58
OPP2381,ACC1492,Proposal,2025-02-20,0.0,79
OPP2382,ACC1428,Qualification,2024-08-11,0.0,54
OPP2383,ACC1044,Qualification,2024-04-07,0.0,78
OPP2384,ACC1327,Proposal,2023-10-07,0.0,26
OPP2385,ACC1030,Closed Won,2025-01-05,115231.66,100
OPP2386,ACC1116,Prospecting,2024-06-22,0.0,12
OPP2387,ACC1401,Closed Lost,2023-09-15,0.0,69
OPP2388,ACC1467,Closed Won,2023-08-29,274500.44,100
OPP2389,ACC1144,Negotiation,2024-12-28,0.0,39
OPP2390,ACC1191,Qualification,2023-08-13,0.0,54
OPP2391,ACC1062,Qualification,2024-04-03,0.0,34
OPP2392,ACC1124,Closed Lost,2023-10-15,0.0,24
OPP2393,ACC1304,Prospecting,2025-03-03,0.0,63
OPP2394,ACC1053,Closed Won,2025-06-06,468437.78,100
OPP2395,ACC1192,Closed Won,2025-01-19,124129.82,100
OPP2396,ACC1446,Prospecting,2024-08-08,0.0,86
OPP2397,ACC1353,Prospecting,2024-09-03,0.0,86
OPP2398,ACC1072,Closed Won,2024-03-25,436745.15,100
OPP2399,ACC1174,Qualification,2024-06-03,0.0,15
OPP2400,ACC1036,Proposal,2024-06-29,0.0,39
OPP2401,ACC1254,Negotiation,2025-03-02,0.0,17
OPP2402,ACC1006,Qualification,2024-10-30,0.0,47
OPP2403,ACC1273,Qualification,2023-12-11,0.0,83
OPP2404,ACC1011,Proposal,2024-11-19,0.0,86
OPP2405,ACC1150,Closed Won,2024-05-12,410099.33,100
OPP2406,ACC1448,Qualification,2025-01-17,0.0,28
OPP2407,ACC1405,Closed Lost,2025-05-03,0.0,76
OPP2408,ACC1456,Qualification,2024-06-20,0.0,48
OPP2409,ACC1122,Proposal,2024-06-06,0.0,81
OPP2410,ACC1162,Closed Lost,2023-07-31,0.0,32
OPP2411,ACC1124,Closed Won,2024-01-01,216464.29,100
OPP2412,ACC1229,Negotiation,2024-02-16,0.0,54
OPP2413,ACC1456,Closed Lost,2024-12-23,0.0,58
OPP2414,ACC1494,Closed Won,2025-02-28,162773.56,100
OPP2415,ACC1478,Proposal,2024-09-22,0.0,29
OPP2416,ACC1475,Proposal,2025-03-03,0.0,33
OPP2417,ACC1183,Closed Won,2024-08-23,239391.82,100
OPP2418,ACC1476,Closed Won,2024-04-20,153864.53,100
OPP2419,ACC1407,Closed Won,2023-12-19,403859.2,100
OPP2420,ACC1354,Closed Lost,2023-10-19,0.0,81
OPP2421,ACC1002,Proposal,2024-11-29,0.0,63
OPP2422,ACC1101,Negotiation,2024-07-19,0.0,27
OPP2423,ACC1026,Proposal,2025-07-03,0.0,42
OPP2424,ACC1288,Qualification,2024-03-13,0.0,20
OPP2425,ACC1411,Closed Lost,2024-05-07,0.0,57
OPP2426,ACC1097,Prospecting,2024-05-09,0.0,34
OPP2427,ACC1389,Prospecting,2023-10-19,0.0,58
OPP2428,ACC1083,Closed Won,2024-04-10,303446.41,100
OPP2429,ACC1269,Closed Won,2024-06-26,98140.83,100
OPP2430,ACC1361,Closed Won,2023-12-01,363531.09,100
OPP2431,ACC1274,Negotiation,2024-12-01,0.0,71
OPP2432,ACC1050,Qualification,2025-03-04,0.0,52
OPP2433,ACC1296,Proposal,2025-05-29,0.0,11
OPP2434,ACC1067,Qualification,2024-10-01,0.0,34
OPP2435,ACC1145,Closed Lost,2024-11-30,0.0,25
OPP2436,ACC1317,Closed Won,2024-03-12,378393.72,100
OPP2437,ACC1283,Closed Lost,2024-01-18,0.0,87
OPP2438,ACC1395,Closed Won,2023-10-21,201332.87,100
OPP2439,ACC1300,Qualification,2024-04-25,0.0,51
OPP2440,ACC1118,Closed Won,2023-11-08,193427.56,100
OPP2441,ACC1082,Negotiation,2024-05-06,0.0,55
OPP2442,ACC1229,Proposal,2024-10-05,0.0,56
OPP2443,ACC1168,Negotiation,2024-09-20,0.0,73
OPP2444,ACC1023,Negotiation,2024-06-01,0.0,70
OPP2445,ACC1148,Closed Won,2024-07-17,163515.48,100
OPP2446,ACC1117,Qualification,2024-08-23,0.0,50
OPP2447,ACC1435,Proposal,2025-05-29,0.0,82
